Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,RainTomorrow,idnumber
01-12-20,Hydrabad,13.4,22.9,0.6,NA,NA,W,44,WNW,20,71,1007.7,8,16.9,No,RFRNO32622
02-12-20,Hydrabad,7.4,25.1,0,NA,NA,WNW,44,WSW,4,44,1010.6,NA,17.2,Yes,RFRNO14505
03-12-20,Hydrabad,12.9,25.7,0,NA,NA,WSW,46,WSW,19,38,1007.6,NA,21,Yes,RFRNO26843
04-12-20,Hydrabad,9.2,28,0,NA,NA,NE,24,E,11,45,1017.6,NA,18.1,No,RFRNO47263
05-12-20,Hydrabad,17.5,32.3,1,NA,NA,W,41,NW,7,82,1010.8,7,17.8,Yes,RFRNO27062
06-12-20,Hydrabad,14.6,29.7,0.2,NA,NA,WNW,56,W,19,55,1009.2,NA,20.6,Yes,RFRNO59001
07-12-20,Hydrabad,14.3,25,0,NA,NA,W,50,W,20,49,1009.6,1,18.1,Yes,RFRNO59361
08-12-20,Hydrabad,7.7,26.7,0,NA,NA,W,35,W,6,48,1013.4,NA,16.3,No,RFRNO45088
09-12-20,Hydrabad,9.7,31.9,0,NA,NA,NNW,80,NW,7,42,1008.9,NA,18.3,Yes,RFRNO17178
10-12-20,Hydrabad,13.1,30.1,1.4,NA,NA,W,28,SSE,15,58,1007,NA,20.1,Yes,RFRNO32118
11-12-20,Hydrabad,13.4,30.4,0,NA,NA,N,30,ESE,17,48,1011.8,NA,20.4,Yes,RFRNO17717
12-12-20,Hydrabad,15.9,21.7,2.2,NA,NA,NNE,31,ENE,15,89,1010.5,8,15.9,Yes,RFRNO14934
13-12-20,Hydrabad,15.9,18.6,15.6,NA,NA,W,61,NNW,28,76,994.3,8,17.4,Yes,RFRNO22040
14-12-20,Hydrabad,12.6,21,3.6,NA,NA,SW,44,SSW,24,65,1001.2,NA,15.8,Yes,RFRNO14188
15-12-20,Hydrabad,8.4,24.6,0,NA,NA,NA,NA,WNW,4,57,1009.7,NA,15.9,No,RFRNO73566
16-12-20,Hydrabad,9.8,27.7,NA,NA,NA,WNW,50,WNW,NA,50,1013.4,0,17.3,No,RFRNO21372
17-12-20,Hydrabad,14.1,20.9,0,NA,NA,ENE,22,E,11,69,1012.2,8,17.2,Yes,RFRNO10703
18-12-20,Hydrabad,13.5,22.9,16.8,NA,NA,W,63,WNW,6,80,1005.8,8,18,Yes,RFRNO61388
19-12-20,Hydrabad,11.2,22.5,10.6,NA,NA,SSE,43,SW,24,47,1009.4,NA,15.5,No,RFRNO7064
20-12-20,Hydrabad,9.8,25.6,0,NA,NA,SSE,26,NNW,17,45,1019.2,NA,15.8,Yes,RFRNO55305
21-12-20,Hydrabad,11.5,29.3,0,NA,NA,S,24,SE,9,56,1019.3,NA,19.1,Yes,RFRNO32874
22-12-20,Hydrabad,17.1,33,0,NA,NA,NE,43,N,17,38,1013.6,NA,24.5,Yes,RFRNO45560
23-12-20,Hydrabad,20.5,31.8,0,NA,NA,WNW,41,W,19,54,1007.8,NA,23.8,Yes,RFRNO68040
24-12-20,Hydrabad,15.3,30.9,0,NA,NA,N,33,NW,6,55,1011,5,20.9,Yes,RFRNO21106
25-12-20,Hydrabad,12.6,32.4,0,NA,NA,W,43,W,4,49,1012.9,NA,21.5,No,RFRNO51316
26-12-20,Hydrabad,16.2,33.9,0,NA,NA,WSW,35,WSW,9,45,1010.9,NA,23.2,No,RFRNO59700
27-12-20,Hydrabad,16.9,33,0,NA,NA,WSW,57,W,0,41,1006.8,NA,26.6,No,RFRNO8446
28-12-20,Hydrabad,20.1,32.7,0,NA,NA,WNW,48,WNW,13,56,1005.2,NA,24.6,No,RFRNO33311
29-12-20,Hydrabad,19.7,27.2,0,NA,NA,WNW,46,WSW,19,49,1004.8,NA,21.6,Yes,RFRNO65508
30-12-20,Hydrabad,12.5,24.2,1.2,NA,NA,WNW,50,SW,11,78,1005.6,8,12.5,Yes,RFRNO59816
31-12-20,Hydrabad,12,24.4,0.8,NA,NA,W,39,WNW,17,48,1006.1,1,16.9,Yes,RFRNO76955
01-01-20,Hydrabad,11.3,26.5,0,NA,NA,WNW,56,WNW,19,46,1004.5,NA,19.7,Yes,RFRNO31083
02-01-20,Hydrabad,9.6,23.9,0,NA,NA,W,41,SSW,19,44,1014.4,NA,14.9,Yes,RFRNO53337
03-01-20,Hydrabad,10.5,28.8,0,NA,NA,SSE,26,E,11,43,1018.7,NA,17.1,Yes,RFRNO31180
04-01-20,Hydrabad,12.3,34.6,0,NA,NA,WNW,37,NW,6,41,1015.1,NA,20.7,Yes,RFRNO59142
05-01-20,Hydrabad,12.9,35.8,0,NA,NA,WNW,41,NW,6,41,1012.6,NA,22.4,Yes,RFRNO67315
06-01-20,Hydrabad,13.7,37.9,0,NA,NA,W,52,WNW,4,33,1010.9,NA,23.1,Yes,RFRNO22746
07-01-20,Hydrabad,16.1,38.9,0,NA,NA,W,57,W,6,34,1007,NA,25.2,No,RFRNO65520
