Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,RainTomorrow,idnumber,Results
01-12-20,Hydrabad,13.4,22.9,0.6,,,W,44.0,WNW,20.0,71.0,1007.7,8.0,16.9,No,RFRNO32622,0
02-12-20,Hydrabad,7.4,25.1,0.0,,,WNW,44.0,WSW,4.0,44.0,1010.6,,17.2,Yes,RFRNO14505,1
03-12-20,Hydrabad,12.9,25.7,0.0,,,WSW,46.0,WSW,19.0,38.0,1007.6,,21.0,Yes,RFRNO26843,1
04-12-20,Hydrabad,9.2,28.0,0.0,,,NE,24.0,E,11.0,45.0,1017.6,,18.1,No,RFRNO47263,0
05-12-20,Hydrabad,17.5,32.3,1.0,,,W,41.0,NW,7.0,82.0,1010.8,7.0,17.8,Yes,RFRNO27062,1
06-12-20,Hydrabad,14.6,29.7,0.2,,,WNW,56.0,W,19.0,55.0,1009.2,,20.6,Yes,RFRNO59001,1
07-12-20,Hydrabad,14.3,25.0,0.0,,,W,50.0,W,20.0,49.0,1009.6,1.0,18.1,Yes,RFRNO59361,1
08-12-20,Hydrabad,7.7,26.7,0.0,,,W,35.0,W,6.0,48.0,1013.4,,16.3,No,RFRNO45088,0
09-12-20,Hydrabad,9.7,31.9,0.0,,,NNW,80.0,NW,7.0,42.0,1008.9,,18.3,Yes,RFRNO17178,1
10-12-20,Hydrabad,13.1,30.1,1.4,,,W,28.0,SSE,15.0,58.0,1007.0,,20.1,Yes,RFRNO32118,1
11-12-20,Hydrabad,13.4,30.4,0.0,,,N,30.0,ESE,17.0,48.0,1011.8,,20.4,Yes,RFRNO17717,1
12-12-20,Hydrabad,15.9,21.7,2.2,,,NNE,31.0,ENE,15.0,89.0,1010.5,8.0,15.9,Yes,RFRNO14934,1
13-12-20,Hydrabad,15.9,18.6,15.6,,,W,61.0,NNW,28.0,76.0,994.3,8.0,17.4,Yes,RFRNO22040,1
14-12-20,Hydrabad,12.6,21.0,3.6,,,SW,44.0,SSW,24.0,65.0,1001.2,,15.8,Yes,RFRNO14188,1
15-12-20,Hydrabad,8.4,24.6,0.0,,,,,WNW,4.0,57.0,1009.7,,15.9,No,RFRNO73566,0
16-12-20,Hydrabad,9.8,27.7,,,,WNW,50.0,WNW,,50.0,1013.4,0.0,17.3,No,RFRNO21372,0
17-12-20,Hydrabad,14.1,20.9,0.0,,,ENE,22.0,E,11.0,69.0,1012.2,8.0,17.2,Yes,RFRNO10703,1
18-12-20,Hydrabad,13.5,22.9,16.8,,,W,63.0,WNW,6.0,80.0,1005.8,8.0,18.0,Yes,RFRNO61388,1
19-12-20,Hydrabad,11.2,22.5,10.6,,,SSE,43.0,SW,24.0,47.0,1009.4,,15.5,No,RFRNO7064,0
20-12-20,Hydrabad,9.8,25.6,0.0,,,SSE,26.0,NNW,17.0,45.0,1019.2,,15.8,Yes,RFRNO55305,1
21-12-20,Hydrabad,11.5,29.3,0.0,,,S,24.0,SE,9.0,56.0,1019.3,,19.1,Yes,RFRNO32874,1
22-12-20,Hydrabad,17.1,33.0,0.0,,,NE,43.0,N,17.0,38.0,1013.6,,24.5,Yes,RFRNO45560,1
23-12-20,Hydrabad,20.5,31.8,0.0,,,WNW,41.0,W,19.0,54.0,1007.8,,23.8,Yes,RFRNO68040,1
24-12-20,Hydrabad,15.3,30.9,0.0,,,N,33.0,NW,6.0,55.0,1011.0,5.0,20.9,Yes,RFRNO21106,1
25-12-20,Hydrabad,12.6,32.4,0.0,,,W,43.0,W,4.0,49.0,1012.9,,21.5,No,RFRNO51316,0
26-12-20,Hydrabad,16.2,33.9,0.0,,,WSW,35.0,WSW,9.0,45.0,1010.9,,23.2,No,RFRNO59700,0
27-12-20,Hydrabad,16.9,33.0,0.0,,,WSW,57.0,W,0.0,41.0,1006.8,,26.6,No,RFRNO8446,0
28-12-20,Hydrabad,20.1,32.7,0.0,,,WNW,48.0,WNW,13.0,56.0,1005.2,,24.6,No,RFRNO33311,0
29-12-20,Hydrabad,19.7,27.2,0.0,,,WNW,46.0,WSW,19.0,49.0,1004.8,,21.6,Yes,RFRNO65508,1
30-12-20,Hydrabad,12.5,24.2,1.2,,,WNW,50.0,SW,11.0,78.0,1005.6,8.0,12.5,Yes,RFRNO59816,1
31-12-20,Hydrabad,12.0,24.4,0.8,,,W,39.0,WNW,17.0,48.0,1006.1,1.0,16.9,Yes,RFRNO76955,1
01-01-20,Hydrabad,11.3,26.5,0.0,,,WNW,56.0,WNW,19.0,46.0,1004.5,,19.7,Yes,RFRNO31083,1
02-01-20,Hydrabad,9.6,23.9,0.0,,,W,41.0,SSW,19.0,44.0,1014.4,,14.9,Yes,RFRNO53337,1
03-01-20,Hydrabad,10.5,28.8,0.0,,,SSE,26.0,E,11.0,43.0,1018.7,,17.1,Yes,RFRNO31180,1
04-01-20,Hydrabad,12.3,34.6,0.0,,,WNW,37.0,NW,6.0,41.0,1015.1,,20.7,Yes,RFRNO59142,1
05-01-20,Hydrabad,12.9,35.8,0.0,,,WNW,41.0,NW,6.0,41.0,1012.6,,22.4,Yes,RFRNO67315,1
06-01-20,Hydrabad,13.7,37.9,0.0,,,W,52.0,WNW,4.0,33.0,1010.9,,23.1,Yes,RFRNO22746,1
07-01-20,Hydrabad,16.1,38.9,0.0,,,W,57.0,W,6.0,34.0,1007.0,,25.2,No,RFRNO65520,0
08-01-20,Hydrabad,14.0,28.3,0.0,,,W,48.0,WSW,17.0,43.0,1011.9,,17.9,Yes,RFRNO57825,1
09-01-20,Hydrabad,12.5,28.4,0.0,,,NE,37.0,S,20.0,38.0,1017.8,,17.2,No,RFRNO54389,0
10-01-20,Hydrabad,17.0,30.8,0.0,,,NE,37.0,E,15.0,36.0,1013.4,,20.2,No,RFRNO1229,0
11-01-20,Hydrabad,16.9,32.0,0.0,,,S,31.0,N,13.0,52.0,1009.9,,22.8,Yes,RFRNO725,1
12-01-20,Hydrabad,17.3,34.7,0.0,,,SW,35.0,WSW,7.0,48.0,1014.1,,24.2,Yes,RFRNO4223,1
13-01-20,Hydrabad,17.2,37.7,0.0,,,NNW,35.0,NW,7.0,51.0,1015.7,,24.3,Yes,RFRNO58754,1
14-01-20,Hydrabad,17.4,43.0,0.0,,,NW,39.0,SSW,7.0,40.0,1011.6,,25.6,Yes,RFRNO34455,1
15-01-20,Hydrabad,19.8,32.7,0.0,,,WNW,44.0,W,20.0,34.0,1008.4,,27.6,Yes,RFRNO59543,1
16-01-20,Hydrabad,14.9,26.7,0.0,,,SW,56.0,SW,20.0,46.0,1014.1,,18.0,Yes,RFRNO6529,1
17-01-20,Hydrabad,10.5,28.4,0.0,,,SE,33.0,SW,19.0,35.0,1019.7,,16.0,Yes,RFRNO40700,1
18-01-20,Hydrabad,11.3,32.2,0.0,,,WNW,28.0,SSW,17.0,34.0,1019.7,,20.9,Yes,RFRNO12357,1
19-01-20,Hydrabad,13.9,36.6,0.0,,,WNW,39.0,NNE,2.0,39.0,1015.8,,22.0,No,RFRNO76970,0
20-01-20,Hydrabad,18.6,39.9,0.0,,,NNW,61.0,WNW,9.0,36.0,1010.1,,26.8,Yes,RFRNO36232,1
21-01-20,Hydrabad,19.3,38.1,0.8,,,NNW,61.0,WSW,15.0,48.0,1009.6,,27.3,Yes,RFRNO37598,1
22-01-20,Hydrabad,24.4,34.0,0.6,,,NW,98.0,NNW,26.0,60.0,1005.3,4.0,26.1,Yes,RFRNO33211,1
23-01-20,Hydrabad,18.8,35.2,6.4,,,WNW,52.0,NW,6.0,43.0,1007.9,,22.8,No,RFRNO69789,0
24-01-20,Hydrabad,20.8,30.6,0.0,,,W,54.0,W,30.0,41.0,1005.4,,23.3,Yes,RFRNO37078,1
25-01-20,Hydrabad,14.0,34.3,0.0,,,WSW,24.0,SSE,7.0,44.0,1016.5,,21.2,Yes,RFRNO7277,1
26-01-20,Hydrabad,15.7,38.4,0.0,,,S,33.0,WSW,7.0,48.0,1017.7,,23.4,Yes,RFRNO7225,1
27-01-20,Hydrabad,18.5,38.2,0.0,,,NNE,31.0,NNW,9.0,48.0,1017.8,,25.8,Yes,RFRNO13514,1
28-01-20,Hydrabad,20.4,40.7,0.0,,,N,37.0,NNE,7.0,45.0,1014.9,,28.2,No,RFRNO4248,0
29-01-20,Hydrabad,21.8,41.5,0.0,,,SW,24.0,S,6.0,38.0,1015.7,,29.0,Yes,RFRNO33998,1
30-01-20,Hydrabad,22.3,42.9,0.0,,,NNE,28.0,SE,9.0,37.0,1014.6,,29.2,Yes,RFRNO38511,1
31-01-20,Hydrabad,22.0,42.7,0.0,,,ESE,48.0,SW,4.0,33.0,1014.2,,29.9,No,RFRNO64204,0
01-02-20,Hydrabad,28.0,43.1,0.0,,,SW,83.0,E,15.0,27.0,1012.5,,32.4,Yes,RFRNO12893,1
02-02-20,Hydrabad,24.4,38.3,0.2,,,SW,56.0,NW,19.0,32.0,1011.7,,28.8,Yes,RFRNO29621,1
03-02-20,Hydrabad,21.5,37.7,0.0,,,,,,13.0,51.0,1009.2,,27.2,No,RFRNO57676,0
04-02-20,Hydrabad,21.7,36.9,0.0,,,,,,11.0,53.0,1008.8,,25.5,No,RFRNO61380,0
05-02-20,Hydrabad,21.5,41.2,0.0,,,WSW,35.0,S,7.0,48.0,1005.9,,26.5,No,RFRNO32780,0
06-02-20,Hydrabad,23.5,42.2,0.0,,,W,37.0,W,6.0,39.0,1008.0,,28.7,Yes,RFRNO32005,1
07-02-20,Hydrabad,22.3,44.8,0.0,,,NNW,59.0,NW,9.0,36.0,1008.2,,29.6,Yes,RFRNO50449,1
08-02-20,Hydrabad,28.3,40.2,0.0,,,NW,52.0,W,9.0,20.0,1007.0,,34.5,Yes,RFRNO32861,1
09-02-20,Hydrabad,18.4,31.2,0.4,,,SE,37.0,WSW,7.0,66.0,1009.3,7.0,18.7,Yes,RFRNO55897,1
10-02-20,Hydrabad,14.9,27.3,0.0,,,SSE,41.0,SE,20.0,50.0,1011.6,,17.4,Yes,RFRNO36312,1
11-02-20,Hydrabad,13.5,26.7,0.0,,,SSE,46.0,E,19.0,45.0,1012.8,,16.7,Yes,RFRNO34295,1
12-02-20,Hydrabad,16.1,21.6,0.0,,,SE,46.0,NE,11.0,58.0,1017.0,2.0,17.0,Yes,RFRNO64280,1
13-02-20,Hydrabad,14.6,29.0,3.0,,,SSE,41.0,SSE,26.0,41.0,1023.3,,18.0,Yes,RFRNO10411,1
14-02-20,Hydrabad,12.4,29.2,0.0,,,NE,39.0,,7.0,37.0,1022.5,,18.3,Yes,RFRNO9614,1
15-02-20,Hydrabad,13.3,31.3,0.0,,,NNE,41.0,SSW,7.0,50.0,1016.2,,19.2,Yes,RFRNO75846,1
16-02-20,Hydrabad,17.2,31.1,0.0,,,E,35.0,ESE,17.0,43.0,1017.7,,21.4,Yes,RFRNO62860,1
17-02-20,Hydrabad,12.5,28.8,0.0,,,N,31.0,ENE,7.0,46.0,1017.2,,18.0,No,RFRNO69926,0
18-02-20,Hydrabad,18.0,32.0,0.0,,,NW,31.0,SW,4.0,44.0,1012.4,,22.1,Yes,RFRNO13623,1
19-02-20,Hydrabad,16.2,34.0,0.0,,,WSW,48.0,WSW,4.0,53.0,1007.8,,21.0,Yes,RFRNO28158,1
20-02-20,Hydrabad,18.7,29.1,0.0,,,SSW,41.0,SSE,7.0,45.0,1010.1,,21.5,No,RFRNO38765,0
21-02-20,Hydrabad,13.7,31.7,0.0,,,SSE,28.0,S,2.0,63.0,1012.5,,19.3,Yes,RFRNO7609,1
22-02-20,Hydrabad,15.5,33.2,0.0,,,NW,31.0,WNW,11.0,49.0,1015.6,,20.9,Yes,RFRNO24249,1
23-02-20,Hydrabad,14.3,34.0,0.0,,,NW,70.0,NW,6.0,48.0,1013.0,,20.7,No,RFRNO3480,0
24-02-20,Hydrabad,12.9,29.6,0.0,,,WNW,46.0,WNW,7.0,54.0,1014.0,6.0,18.7,No,RFRNO14475,0
25-02-20,Hydrabad,8.9,31.9,0.0,,,WNW,43.0,WSW,0.0,49.0,1016.6,7.0,15.0,No,RFRNO51354,0
26-02-20,Hydrabad,15.0,32.7,0.0,,,ESE,26.0,S,15.0,43.0,1017.8,,20.7,Yes,RFRNO49248,1
27-02-20,Hydrabad,15.4,32.6,0.0,,,W,24.0,S,0.0,53.0,1016.2,,20.0,Yes,RFRNO34569,1
28-02-20,Hydrabad,16.0,34.5,0.0,,,WSW,44.0,,6.0,44.0,1007.5,,22.2,No,RFRNO61354,0
01-03-20,Hydrabad,12.8,30.3,0.0,,,W,30.0,WSW,4.0,53.0,1010.5,,17.3,Yes,RFRNO48986,1
02-03-20,Hydrabad,13.2,31.9,0.0,,,NNW,35.0,ENE,6.0,53.0,1014.1,,18.0,No,RFRNO62915,0
03-03-20,Hydrabad,18.0,31.1,0.0,,,WNW,52.0,NNE,15.0,58.0,1014.7,5.0,23.0,No,RFRNO7547,0
04-03-20,Hydrabad,13.8,22.1,0.2,,,WNW,57.0,WNW,26.0,57.0,1014.5,,15.6,No,RFRNO24830,0
05-03-20,Hydrabad,11.5,22.0,0.0,,,SW,50.0,W,19.0,60.0,1013.7,,13.9,Yes,RFRNO69931,1
